OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding_Timestamp,Geocoding_Status
739,Arco #364420,US-23,Greenup,KY,255,3.649,38.5698,-82.83293,2025-01-27T22:18:02.163318,SUCCESS
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.37738,-104.69354,2025-01-27T22:18:02.709317,SUCCESS
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,40.36432,-91.46913,2025-01-27T22:18:03.311319,SUCCESS
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,43.0101,-89.89738,2025-01-27T22:18:03.907320,SUCCESS
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,42.30862,-87.87741,2025-01-27T22:18:04.472828,SUCCESS
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,32.74963,-81.63815,2025-01-27T22:18:05.042827,SUCCESS
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,35.15316,-90.08273,2025-01-27T22:18:05.634826,SUCCESS
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,33.33252,-86.78869,2025-01-27T22:18:06.243827,SUCCESS
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,33.27625,-87.09926,2025-01-27T22:18:06.840147,SUCCESS
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,35.0699,-92.41747,2025-01-27T22:18:07.427148,SUCCESS
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,33.43776,-112.10809,2025-01-27T22:18:07.998146,SUCCESS
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.66648,-114.21745,2025-01-27T22:18:08.585559,SUCCESS
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,43.19557,-112.36634,2025-01-27T22:18:09.150557,SUCCESS
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,32.67672,-114.52765,2025-01-27T22:18:09.719558,SUCCESS
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,39.72142,-75.53872,2025-01-27T22:18:10.330559,SUCCESS
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.18921,-82.6373,2025-01-27T22:18:10.899007,SUCCESS
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,30.18482,-82.63959,2025-01-27T22:18:11.466008,SUCCESS
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,30.72266,-85.19206,2025-01-27T22:18:12.062010,SUCCESS
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,32.54352,-82.90701,2025-01-27T22:18:12.659006,SUCCESS
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,33.51075,-82.50682,2025-01-27T22:18:13.221642,SUCCESS
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,42.01667,-95.36624,2025-01-27T22:18:13.797644,SUCCESS
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,42.57045,-92.78947,2025-01-27T22:18:14.387644,SUCCESS
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,42.57828,-114.30118,2025-01-27T22:18:14.957641,SUCCESS
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,42.48188,-87.94764,2025-01-27T22:18:15.535738,SUCCESS
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249,38.15061,-88.91314,2025-01-27T22:18:16.107733,SUCCESS
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399,40.12653,-87.78342,2025-01-27T22:18:16.692734,SUCCESS
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499,39.58967,-89.65234,2025-01-27T22:18:17.273734,SUCCESS
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.81949,-85.90725,2025-01-27T22:18:17.861070,SUCCESS
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759,39.79619,-85.53196,2025-01-27T22:18:18.447068,SUCCESS
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199,30.14862,-97.48433,2025-01-27T22:18:19.031068,SUCCESS
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,39.5232,-85.77425,2025-01-27T22:18:19.643070,SUCCESS
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,39.43099,-87.40955,2025-01-27T22:18:20.256120,SUCCESS
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,41.43019,-87.02725,2025-01-27T22:18:20.851120,SUCCESS
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,38.4056,-96.18016,2025-01-27T22:18:21.398116,SUCCESS
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,38.27216,-84.55599,2025-01-27T22:18:22.139667,SUCCESS
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,37.82736,-85.72122,2025-01-27T22:18:22.729669,SUCCESS
